ticker_db,yf_ticker_corr,yf_ok,precio_yf,nombre,bolsa,tipo,isin,estatus
FRAGUAB,FRAGUAB.MX,SI,537.5,"CORPORATIVO FRAGUA, S.A.B. DE C.V.",BMV,Acción,MXP321131015,ACTIVA
FRES*,FRES.MX,SI,970.0,FRESNILLO PLC,BMV,Acción,GB00B2QPKJ12,ACTIVA
GAPB,GAPB.MX,SI,449.96,"GRUPO AEROPORTUARIO DEL PACIFICO, S.A.B. DE C.V.",BMV,Acción,MX01GA000004,ACTIVA
GAPI21D,GAPI21D.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
GAPI21-3D,GAPI21-3D.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
GAPI18-D,GAPI18-D.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RGA050016,ACTIVA
GAPI18-2D,GAPI18-2D.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RGA050008,ACTIVA
GAPI21-2D,GAPI21-2D.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
GAVA,GAVA.MX,SI,179.0,"ACOSTA VERDE, S.A.B. DE C.V.",BMV,Acción,MX01GA060008,ACTIVA
GAVACK17,GAVACK17.MX,SI,3.25,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RGA040009,ACTIVA
GBMO,GBMO.MX,SI,16.4,"CORPORATIVO GBM, S.A.B. DE C. V.",BMV,Acción,MX01GB0D0001,ACTIVA
GBMESCK16,GBMESCK16.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RGB1N0001,ACTIVA
GBMICK12,GBMICK12.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RGB130007,ACTIVA
GCARSOA1,GCARSOA1.MX,SI,134.93,"GRUPO CARSO, S.A.B. DE C.V.",BMV,Acción,MXP461181085,ACTIVA
GCC*,GCC.MX,SI,200.63,"GCC, S.A.B. DE C.V.",BMV,Acción,MX01GC2M0006,ACTIVA
GDISPI18,GDISPI18.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RGD090001,ACTIVA
GENTERA*,GENTERA.MX,SI,49.99,"GENTERA, S.A.B. DE C.V.",BMV,Acción,MX01GE0E0004,ACTIVA
GFINBURO,GFINBURO.MX,SI,43.86,"GRUPO FINANCIERO INBURSA, S.A.B. DE C.V.",BMV,Acción,MXP370641013,ACTIVA
GFMULTIO,GFMULTIO.MX,SI,7.5,GRUPO FINANCIERO MULTIVA S.A.B. DE C.V.,BMV,Acción,MXP6990U1056,ACTIVA
GFNORTEO,GFNORTEO.MX,SI,195.83,"GRUPO FINANCIERO BANORTE, S.A.B DE C.V.",BMV,Acción,MXP370711014,ACTIVA
GICSAB,GICSAB.MX,SI,2.99,"GRUPO GICSA, S.A.B. DE C.V.",BMV,Acción,MX01GI020004,ACTIVA
GIGANTE*,GIGANTE.MX,SI,31.5,"GRUPO GIGANTE, S.A.B. DE C.V.",BMV,Acción,MXP370791214,ACTIVA
GISSAA,GISSAA.MX,SI,12.99,"GRUPO INDUSTRIAL SALTILLO, S.A.B. DE C.V.",BMV,Acción,MX01GI000030,ACTIVA
GLOB1PI22-9,GLOB1PI22-9.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RGL030080,ACTIVA
GLOB1PI22-8,GLOB1PI22-8.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RGL030072,ACTIVA
GLOB1PI22-7,GLOB1PI22-7.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RGL030064,ACTIVA
